No.,Smiles,Enthalpy(kcal)
1,CCCCCCCCCCCCCCCCCC,-99.0918876
2,CCCCCCCCCCCCCCCC,-89.48
3,CCCCC(C)(C)CC(C)(C)CCCC,-87.6195996
4,CCCC(C)(CC)CC(C)(CC)CCC,-82.9589826
5,CCCCCCCCCCCCCCC,-84.39
6,CCC(C)(CC)CC(C)(CC)CC,-72.0125078
7,CCCC(C)(C)CC(C)(C)CCC,-74.8566792
8,CCCCCCCCCCCCC,-74.52
9,CCC(C)(C)CCC(C)(C)CC,-76.0517092
10,CCCCCCCCCCCC,-69.38
11,CCCCCCCCC(C)C,-65.87
12,CCC(C)(C)CCC(C)(C)C,-76.5775224
13,CCC(C)(C)CC(C)(C)CC,-66.1329602
14,CC(C)C(C)(C)CC(C)(C)C,-67.160686
15,CCCCCCCCCCC,-64.68
16,CCCCC(C)CCCC,-61.8069516
17,CCCCCCCC(C)C,-61.59
18,CCCCCCCCCC,-59.63
19,CCC(CC)(CC)CC,-55.5210938
20,CC(C)CC(C)C(C)C,-57.98
21,CCC(C)(C)C(C)(C)C,-56.6683226
22,CC(C)C(C)C(C)(C)C,-56.6205214
23,CC(C)(C)CC(C)(C)C,-57.7438496
24,CC(C)C(C)(C)C(C)C,-56.4293166
25,CCCCCCC(C)C,-56.26
26,CCCCCCCCC,-54.66
27,CC(C)(C)C(C)(C)C,-53.97
28,CC(C)CC(C)(C)C,-53.54
29,CC(C)C(C)C(C)C,-51.94
30,CCC(C)(C)C(C)C,-52.06
31,CCC(C)C(C)(C)C,-52.58
32,CCC(C)(CC)CC,-51.36
33,CCC(CC)C(C)C,-50.72
34,CCC(C)C(C)CC,-50.84
35,CCCC(C)(C)CC,-52.58
36,CC(C)CCC(C)C,-53.18
37,CCC(C)CC(C)C,-52.39
38,CCCC(CC)CC,-50.36
39,CCCCC(C)(C)C,-53.68
40,CCCC(C)C(C)C,-51.1
41,CCCC(C)CCC,-50.67
42,CCCCC(C)CC,-50.79
43,CCCCCC(C)C,-51.48
44,CCCCCCCC,-49.88
45,CCC(CC)CC,-45.29
46,CC(C)CC(C)C,-48.21
47,CCC(C)C(C)C,-46.75
48,CC(C)C(C)(C)C,-48.88
49,CCCC(C)(C)C,-49.19
50,CCC(C)(C)CC,-48.21
51,CC(C)CCCC,-46.51
52,CCC(C)CCC,-45.72
53,CCCCCCC,-44.86
54,CC(C)(C)CC,-44.19
55,CC(C)C(C)C,-42.28
56,CC(C)CCC,-41.73
57,CCC(C)CC,-41.11
58,CCCCCC,-39.89
59,CC(C)(C)C,-40.15
60,CC(C)CC,-36.74
61,CCCCC,-35.09
62,CC(C)C,-32.17
63,CCCC,-30.11
64,CCC,-24.95
65,CC,-20.05
66,CCCCCCCCCCCCCCC=C,-59.392991
67,CCCCCCCCCCC=C,-39.53
68,CC(C)(C)/C=C/C(C)(C)C,-39.555493
69,CCCCCCCCC=C,-29.4933404
70,CCCCCCC=C,-19.67
71,CCCCC/C=C\C,-21.39
72,CCCCC/C=C/C,-23.14
73,CCCC/C=C\CC,-21.39
74,CCCC/C=C/CC,-22.59
75,CCC/C=C\CCC,-21.39
76,CCC/C=C/CCC,-23.09
77,CCCCCC(=C)C,-22.51
78,CCCCC(C)C=C,-21.58
79,CCC(C)CCC=C,-20.84
80,CC(C)CCCC=C,-21.82
81,CCCCC=C(C)C,-25.48
82,CCCC/C(=C\C)/C,-25.17
83,CCCC/C(=C/C)/C,-25.17
84,CCCC(C)/C=C\C,-23.06
85,CCCC(C)/C=C/C,-24.26
86,CCC(C)C/C=C/C,-23.92
87,C/C=C\CCC(C)C,-23.06
